PostgreSQL Información del Servidor
{'user': 'postgres', 'channel_binding': 'prefer', 'dbname': 'bigdata', 'host': 'localhost', 'port': '5432', 'options': '', 'sslmode': 'prefer', 'sslcompression': '0', 'sslcertmode': 'allow', 'sslsni': '1', 'ssl_min_protocol_version': 'TLSv1.2', 'gssencmode': 'disable', 'krbsrvname': 'postgres', 'gssdelegation': '0', 'target_session_attrs': 'any', 'load_balance_hosts': 'disable'} 

Python version:  3.12.6 (tags/v3.12.6:a4a2d2b, Sep  6 2024, 20:11:23) [MSC v.1940 64 bit (AMD64)]
Estás conectado a -  ('PostgreSQL 17rc1 on x86_64-windows, compiled by msvc-19.41.34120, 64-bit',) 

Base de datos: bigdata 

Cargando temporal ... ->  5 56 5 5.347 Antioquia Heliconia 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 57 5 5.353 Antioquia Hispania 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  4 58 5 5.36 Antioquia Itagui 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 59 5 5.361 Antioquia Ituango 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 60 5 5.086 Antioquia Belmira 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 61 5 5.368 Antioquia Jericó 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 62 5 5.376 Antioquia La Ceja 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  4 63 5 5.38 Antioquia La Estrella 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  4 64 5 5.39 Antioquia La Pintada 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  3 65 5 5.4 Antioquia La Unión 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 66 5 5.411 Antioquia Liborina 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 67 5 5.425 Antioquia Maceo 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  4 68 5 5.44 Antioquia Marinilla 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 69 5 5.467 Antioquia Montebello 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 70 5 5.475 Antioquia Murindó 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  4 71 5 5.48 Antioquia Mutatá 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 72 5 5.483 Antioquia Nariño 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  4 73 5 5.49 Antioquia Necoclí 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 74 5 5.495 Antioquia Nechí 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 75 5 5.501 Antioquia Olaya 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 76 5 5.541 Antioquia Peñol 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 77 5 5.543 Antioquia Peque 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 78 5 5.576 Antioquia Pueblorrico 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 79 5 5.579 Antioquia Puerto Berrío 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 80 5 5.585 Antioquia Puerto Nare 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 81 5 5.591 Antioquia Puerto Triunfo 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 82 5 5.604 Antioquia Remedios 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 83 5 5.607 Antioquia Retiro 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 84 5 5.615 Antioquia Rionegro 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 85 5 5.628 Antioquia Sabanalarga 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 86 5 5.631 Antioquia Sabaneta 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 87 5 5.642 Antioquia Salgar 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  6 88 15 15.189 Boyacá Ciénega 2 Región Centro Oriente
Cargando temporal ... ->  6 89 52 52.699 Nariño Santacruz 6 Región Pacífico
Cargando temporal ... ->  5 90 5 5.652 Antioquia San Francisco 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 91 5 5.656 Antioquia San Jerónimo 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  6 92 68 68.575 Santander Puerto Wilches 2 Región Centro Oriente
Cargando temporal ... ->  6 93 68 68.573 Santander Puerto Parra 2 Región Centro Oriente
Cargando temporal ... ->  4 94 5 5.66 Antioquia San Luis 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 95 5 5.664 Antioquia San Pedro 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 96 5 5.667 Antioquia San Rafael 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  4 97 5 5.67 Antioquia San Roque 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 98 5 5.674 Antioquia San Vicente 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 99 5 5.679 Antioquia Santa Bárbara 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  4 100 5 5.69 Antioquia Santo Domingo 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 101 5 5.697 Antioquia El Santuario 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 102 5 5.736 Antioquia Segovia 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 103 5 5.761 Antioquia Sopetrán 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 104 50 50.37 Meta Uribe 5 Región Llano
Cargando temporal ... ->  5 105 5 5.789 Antioquia Támesis 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  4 106 5 5.79 Antioquia Tarazá 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 107 5 5.792 Antioquia Tarso 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 108 5 5.809 Antioquia Titiribí 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 109 5 5.819 Antioquia Toledo 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 110 5 5.837 Antioquia Turbo 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 111 5 5.842 Antioquia Uramita 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 112 5 5.847 Antioquia Urrao 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 113 5 5.854 Antioquia Valdivia 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 114 5 5.856 Antioquia Valparaíso 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 115 5 5.858 Antioquia Vegachí 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 116 5 5.861 Antioquia Venecia 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 117 5 5.885 Antioquia Yalí 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 118 5 5.887 Antioquia Yarumal 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  4 119 5 5.89 Antioquia Yolombó 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 120 5 5.893 Antioquia Yondó 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 121 5 5.895 Antioquia Zaragoza 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 122 8 8.001 Atlántico Barranquilla 4 Región Caribe
Cargando temporal ... ->  5 123 8 8.078 Atlántico Baranoa 4 Región Caribe
Cargando temporal ... ->  5 124 8 8.141 Atlántico Candelaria 4 Región Caribe
Cargando temporal ... ->  5 125 8 8.296 Atlántico Galapa 4 Región Caribe
Cargando temporal ... ->  5 126 8 8.421 Atlántico Luruaco 4 Región Caribe
Cargando temporal ... ->  5 127 8 8.433 Atlántico Malambo 4 Región Caribe
Cargando temporal ... ->  5 128 8 8.436 Atlántico Manatí 4 Región Caribe
Cargando temporal ... ->  5 129 8 8.549 Atlántico Piojó 4 Región Caribe
Cargando temporal ... ->  5 130 8 8.558 Atlántico Polonuevo 4 Región Caribe
Cargando temporal ... ->  5 131 8 8.634 Atlántico Sabanagrande 4 Región Caribe
Cargando temporal ... ->  5 132 8 8.638 Atlántico Sabanalarga 4 Región Caribe
Cargando temporal ... ->  5 133 8 8.675 Atlántico Santa Lucía 4 Región Caribe
Cargando temporal ... ->  5 134 8 8.685 Atlántico Santo Tomás 4 Región Caribe
Cargando temporal ... ->  5 135 8 8.758 Atlántico Soledad 4 Región Caribe
Cargando temporal ... ->  4 136 8 8.77 Atlántico Suan 4 Región Caribe
Cargando temporal ... ->  5 137 8 8.832 Atlántico Tubará 4 Región Caribe
Cargando temporal ... ->  5 138 8 8.849 Atlántico Usiacurí 4 Región Caribe
Cargando temporal ... ->  6 139 13 13.006 Bolívar Achí 4 Región Caribe
Cargando temporal ... ->  6 140 13 13.042 Bolívar Arenal 4 Región Caribe
Cargando temporal ... ->  6 141 13 13.052 Bolívar Arjona 4 Región Caribe
Cargando temporal ... ->  6 142 13 13.062 Bolívar Arroyohondo 4 Región Caribe
Cargando temporal ... ->  5 143 13 13.14 Bolívar Calamar 4 Región Caribe
Cargando temporal ... ->  5 144 13 13.16 Bolívar Cantagallo 4 Región Caribe
Cargando temporal ... ->  6 145 13 13.188 Bolívar Cicuco 4 Región Caribe
Cargando temporal ... ->  6 146 13 13.212 Bolívar Córdoba 4 Región Caribe
Cargando temporal ... ->  6 147 13 13.222 Bolívar Clemencia 4 Región Caribe
Cargando temporal ... ->  6 148 13 13.248 Bolívar El Guamo 4 Región Caribe
Cargando temporal ... ->  5 149 13 13.43 Bolívar Magangué 4 Región Caribe
Cargando temporal ... ->  6 150 13 13.433 Bolívar Mahates 4 Región Caribe
Cargando temporal ... ->  5 151 13 13.44 Bolívar Margarita 4 Región Caribe
Cargando temporal ... ->  6 152 13 13.458 Bolívar Montecristo 4 Región Caribe
Cargando temporal ... ->  6 153 13 13.468 Bolívar Mompós 4 Región Caribe
Cargando temporal ... ->  6 154 13 13.473 Bolívar Morales 4 Región Caribe
Cargando temporal ... ->  5 155 13 13.49 Bolívar Norosí 4 Región Caribe
Cargando temporal ... ->  6 156 13 13.549 Bolívar Pinillos 4 Región Caribe
Cargando temporal ... ->  5 157 13 13.58 Bolívar Regidor 4 Región Caribe
Cargando temporal ... ->  4 158 13 13.6 Bolívar Río Viejo 4 Región Caribe
Cargando temporal ... ->  6 159 13 13.647 Bolívar San Estanislao 4 Región Caribe
Cargando temporal ... ->  5 160 13 13.65 Bolívar San Fernando 4 Región Caribe
Cargando temporal ... ->  6 161 13 13.657 Bolívar San Juan Nepomuceno 4 Región Caribe
Cargando temporal ... ->  6 162 13 13.673 Bolívar Santa Catalina 4 Región Caribe
Cargando temporal ... ->  6 163 13 13.683 Bolívar Santa Rosa 4 Región Caribe
Cargando temporal ... ->  6 164 13 13.744 Bolívar Simití 4 Región Caribe
Cargando temporal ... ->  5 165 13 13.76 Bolívar Soplaviento 4 Región Caribe
Cargando temporal ... ->  5 166 13 13.78 Bolívar Talaigua Nuevo 4 Región Caribe
Cargando temporal ... ->  5 167 13 13.81 Bolívar Tiquisio 4 Región Caribe
Cargando temporal ... ->  6 168 13 13.836 Bolívar Turbaco 4 Región Caribe
Cargando temporal ... ->  6 169 13 13.838 Bolívar Turbaná 4 Región Caribe
Cargando temporal ... ->  6 170 13 13.873 Bolívar Villanueva 4 Región Caribe
Cargando temporal ... ->  6 171 15 15.001 Boyacá Tunja 2 Región Centro Oriente
Cargando temporal ... ->  6 172 15 15.022 Boyacá Almeida 2 Región Centro Oriente
Cargando temporal ... ->  6 173 15 15.047 Boyacá Aquitania 2 Región Centro Oriente
Cargando temporal ... ->  6 174 15 15.051 Boyacá Arcabuco 2 Región Centro Oriente
Cargando temporal ... ->  5 175 15 15.09 Boyacá Berbeo 2 Región Centro Oriente
Cargando temporal ... ->  6 176 15 15.092 Boyacá Betéitiva 2 Región Centro Oriente
Cargando temporal ... ->  6 177 15 15.097 Boyacá Boavita 2 Región Centro Oriente
Cargando temporal ... ->  6 178 15 15.104 Boyacá Boyacá 2 Región Centro Oriente
Cargando temporal ... ->  6 179 15 15.106 Boyacá Briceño 2 Región Centro Oriente
Cargando temporal ... ->  6 180 15 15.109 Boyacá Buena Vista 2 Región Centro Oriente
Cargando temporal ... ->  6 181 15 15.114 Boyacá Busbanzá 2 Región Centro Oriente
Cargando temporal ... ->  6 182 15 15.131 Boyacá Caldas 2 Región Centro Oriente
Cargando temporal ... ->  6 183 15 15.135 Boyacá Campohermoso 2 Región Centro Oriente
Cargando temporal ... ->  6 184 15 15.162 Boyacá Cerinza 2 Región Centro Oriente
Cargando temporal ... ->  6 185 15 15.172 Boyacá Chinavita 2 Región Centro Oriente
Cargando temporal ... ->  6 186 15 15.176 Boyacá Chiquinquirá 2 Región Centro Oriente
Cargando temporal ... ->  5 187 15 15.18 Boyacá Chiscas 2 Región Centro Oriente
Cargando temporal ... ->  6 188 15 15.183 Boyacá Chita 2 Región Centro Oriente
Cargando temporal ... ->  6 189 15 15.185 Boyacá Chitaraque 2 Región Centro Oriente
Cargando temporal ... ->  6 190 15 15.187 Boyacá Chivatá 2 Región Centro Oriente
Cargando temporal ... ->  6 191 15 15.204 Boyacá Cómbita 2 Región Centro Oriente
Cargando temporal ... ->  6 192 15 15.212 Boyacá Coper 2 Región Centro Oriente
Cargando temporal ... ->  6 193 15 15.215 Boyacá Corrales 2 Región Centro Oriente
Cargando temporal ... ->  6 194 15 15.218 Boyacá Covarachía 2 Región Centro Oriente
Cargando temporal ... ->  6 195 15 15.223 Boyacá Cubará 2 Región Centro Oriente
Cargando temporal ... ->  6 196 15 15.224 Boyacá Cucaita 2 Región Centro Oriente
Cargando temporal ... ->  6 197 15 15.226 Boyacá Cuítiva 2 Región Centro Oriente
Cargando temporal ... ->  6 198 15 15.232 Boyacá Chíquiza 2 Región Centro Oriente
Cargando temporal ... ->  6 199 15 15.236 Boyacá Chivor 2 Región Centro Oriente
Cargando temporal ... ->  6 200 15 15.238 Boyacá Duitama 2 Región Centro Oriente
Cargando temporal ... ->  6 201 15 15.244 Boyacá El Cocuy 2 Región Centro Oriente
Cargando temporal ... ->  6 202 15 15.248 Boyacá El Espino 2 Región Centro Oriente
Cargando temporal ... ->  6 203 15 15.272 Boyacá Firavitoba 2 Región Centro Oriente
Cargando temporal ... ->  6 204 15 15.276 Boyacá Floresta 2 Región Centro Oriente
Cargando temporal ... ->  6 205 15 15.293 Boyacá Gachantivá 2 Región Centro Oriente
Cargando temporal ... ->  6 206 15 15.296 Boyacá Gameza 2 Región Centro Oriente
Cargando temporal ... ->  6 207 15 15.299 Boyacá Garagoa 2 Región Centro Oriente
Cargando temporal ... ->  6 208 15 15.317 Boyacá Guacamayas 2 Región Centro Oriente
Cargando temporal ... ->  6 209 15 15.322 Boyacá Guateque 2 Región Centro Oriente
Cargando temporal ... ->  6 210 15 15.325 Boyacá Guayatá 2 Región Centro Oriente
Cargando temporal ... ->  6 211 15 15.332 Boyacá Güicán 2 Región Centro Oriente
Cargando temporal ... ->  6 212 15 15.362 Boyacá Iza 2 Región Centro Oriente
Cargando temporal ... ->  6 213 15 15.367 Boyacá Jenesano 2 Región Centro Oriente
Cargando temporal ... ->  6 214 15 15.368 Boyacá Jericó 2 Región Centro Oriente
Cargando temporal ... ->  6 215 15 15.377 Boyacá Labranzagrande 2 Región Centro Oriente
Cargando temporal ... ->  5 216 15 15.38 Boyacá La Capilla 2 Región Centro Oriente
Cargando temporal ... ->  6 217 15 15.401 Boyacá La Victoria 2 Región Centro Oriente
Cargando temporal ... ->  6 218 15 15.425 Boyacá Macanal 2 Región Centro Oriente
Cargando temporal ... ->  6 219 15 15.442 Boyacá Maripí 2 Región Centro Oriente
Cargando temporal ... ->  6 220 15 15.455 Boyacá Miraflores 2 Región Centro Oriente
Cargando temporal ... ->  6 221 15 15.464 Boyacá Mongua 2 Región Centro Oriente
Cargando temporal ... ->  6 222 15 15.466 Boyacá Monguí 2 Región Centro Oriente
Cargando temporal ... ->  6 223 15 15.469 Boyacá Moniquirá 2 Región Centro Oriente
Cargando temporal ... ->  5 224 15 15.48 Boyacá Muzo 2 Región Centro Oriente
Cargando temporal ... ->  6 225 15 15.491 Boyacá Nobsa 2 Región Centro Oriente
Cargando temporal ... ->  6 226 15 15.494 Boyacá Nuevo Colón 2 Región Centro Oriente
Cargando temporal ... ->  4 227 15 15.5 Boyacá Oicatá 2 Región Centro Oriente
Cargando temporal ... ->  6 228 15 15.507 Boyacá Otanche 2 Región Centro Oriente
Cargando temporal ... ->  6 229 15 15.511 Boyacá Pachavita 2 Región Centro Oriente
Cargando temporal ... ->  6 230 15 15.514 Boyacá Páez 2 Región Centro Oriente
Cargando temporal ... ->  6 231 15 15.516 Boyacá Paipa 2 Región Centro Oriente
Cargando temporal ... ->  6 232 15 15.518 Boyacá Pajarito 2 Región Centro Oriente
Cargando temporal ... ->  6 233 15 15.522 Boyacá Panqueba 2 Región Centro Oriente
Cargando temporal ... ->  6 234 15 15.531 Boyacá Pauna 2 Región Centro Oriente
Cargando temporal ... ->  6 235 15 15.533 Boyacá Paya 2 Región Centro Oriente
Cargando temporal ... ->  6 236 15 15.542 Boyacá Pesca 2 Región Centro Oriente
Cargando temporal ... ->  5 237 15 15.55 Boyacá Pisba 2 Región Centro Oriente
Cargando temporal ... ->  6 238 15 15.572 Boyacá Puerto Boyacá 2 Región Centro Oriente
Cargando temporal ... ->  5 239 15 15.58 Boyacá Quípama 2 Región Centro Oriente
Cargando temporal ... ->  6 240 15 15.599 Boyacá Ramiriquí 2 Región Centro Oriente
Cargando temporal ... ->  4 241 15 15.6 Boyacá Ráquira 2 Región Centro Oriente
Cargando temporal ... ->  6 242 15 15.621 Boyacá Rondón 2 Región Centro Oriente
Cargando temporal ... ->  6 243 15 15.632 Boyacá Saboyá 2 Región Centro Oriente
Cargando temporal ... ->  6 244 15 15.638 Boyacá Sáchica 2 Región Centro Oriente
Cargando temporal ... ->  6 245 15 15.646 Boyacá Samacá 2 Región Centro Oriente
Cargando temporal ... ->  5 246 15 15.66 Boyacá San Eduardo 2 Región Centro Oriente
Cargando temporal ... ->  6 247 15 15.673 Boyacá San Mateo 2 Región Centro Oriente
Cargando temporal ... ->  6 248 15 15.686 Boyacá Santana 2 Región Centro Oriente
Cargando temporal ... ->  5 249 15 15.69 Boyacá Santa María 2 Región Centro Oriente
Cargando temporal ... ->  6 250 15 15.696 Boyacá Santa Sofía 2 Región Centro Oriente
Cargando temporal ... ->  5 251 15 15.72 Boyacá Sativanorte 2 Región Centro Oriente
Cargando temporal ... ->  6 252 15 15.723 Boyacá Sativasur 2 Región Centro Oriente
Cargando temporal ... ->  5 253 15 15.74 Boyacá Siachoque 2 Región Centro Oriente
Cargando temporal ... ->  6 254 15 15.753 Boyacá Soatá 2 Región Centro Oriente
Cargando temporal ... ->  6 255 15 15.755 Boyacá Socotá 2 Región Centro Oriente
Cargando temporal ... ->  6 256 15 15.757 Boyacá Socha 2 Región Centro Oriente
Cargando temporal ... ->  6 257 15 15.759 Boyacá Sogamoso 2 Región Centro Oriente
Cargando temporal ... ->  6 258 15 15.761 Boyacá Somondoco 2 Región Centro Oriente
Cargando temporal ... ->  6 259 15 15.762 Boyacá Sora 2 Región Centro Oriente
Cargando temporal ... ->  6 260 15 15.763 Boyacá Sotaquirá 2 Región Centro Oriente
Cargando temporal ... ->  6 261 15 15.764 Boyacá Soracá 2 Región Centro Oriente
Cargando temporal ... ->  6 262 15 15.774 Boyacá Susacón 2 Región Centro Oriente
Cargando temporal ... ->  6 263 15 15.776 Boyacá Sutamarchán 2 Región Centro Oriente
Cargando temporal ... ->  6 264 15 15.778 Boyacá Sutatenza 2 Región Centro Oriente
Cargando temporal ... ->  5 265 15 15.79 Boyacá Tasco 2 Región Centro Oriente
Cargando temporal ... ->  6 266 15 15.798 Boyacá Tenza 2 Región Centro Oriente
Cargando temporal ... ->  6 267 15 15.804 Boyacá Tibaná 2 Región Centro Oriente
Cargando temporal ... ->  6 268 15 15.808 Boyacá Tinjacá 2 Región Centro Oriente
Cargando temporal ... ->  5 269 15 15.81 Boyacá Tipacoque 2 Región Centro Oriente
Cargando temporal ... ->  6 270 15 15.814 Boyacá Toca 2 Región Centro Oriente
Cargando temporal ... ->  5 271 15 15.82 Boyacá Tópaga 2 Región Centro Oriente
Cargando temporal ... ->  6 272 15 15.822 Boyacá Tota 2 Región Centro Oriente
Cargando temporal ... ->  6 273 15 15.835 Boyacá Turmequé 2 Región Centro Oriente
Cargando temporal ... ->  6 274 15 15.839 Boyacá Tutazá 2 Región Centro Oriente
Cargando temporal ... ->  6 275 15 15.842 Boyacá Umbita 2 Región Centro Oriente
Cargando temporal ... ->  6 276 15 15.861 Boyacá Ventaquemada 2 Región Centro Oriente
Cargando temporal ... ->  6 277 15 15.879 Boyacá Viracachá 2 Región Centro Oriente
Cargando temporal ... ->  6 278 15 15.897 Boyacá Zetaquira 2 Región Centro Oriente
Cargando temporal ... ->  6 279 17 17.001 Caldas Manizales 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  6 280 17 17.013 Caldas Aguadas 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  6 281 17 17.042 Caldas Anserma 1 Región Eje Cafetero - Antioquia
